Senin,Kamis,Rabu,Sabtu,Jumat,Selasa
AWP,NST,BIL,ALY,MAS,NFB
DEY,BHL,BDP,DHY,WAM,GAA
NFB,FAN,NFB,JHS,MNS,AMG
MNS,AZA,CLA,IKI,SOH,REZ
DHY,EZL,CEN,ARC,JHS,DHY
MZY,JHS,ALF,PER,PER,RAM
ALL,BIL,EZI,LIP,OYA,RAR
MYC,AWR,GUS,LLY,GAA,AZA
RIN,DEY,AWP,OYA,QIA,JFT
RIZ,VIN,EON,ZAQ,BIB,BHL
WNA,VAN,MYC,RHN,RHN,FLL
AKA,MYC,DAR,SOH,ZAQ,BIL
TAN,REZ,RAP,ALV,LIM,JIN
LIP,VIS,ALY,TGH,EZI,ONE
MAS,XCX,AAA,TIP,RKH,VAN
PER,RAR,LEX,FAZ,MAI,RIS
