Senin,Kamis,Rabu,Sabtu,Jumat,Selasa
CLA,FAN,NNY,CLA,FAN,FAN
AAA,NNY,CLA,AAA,CLA,CLA
NFB,CLA,AAA,NFB,AAA,AAA
DNR,AAA,NFB,DNR,NFB,NFB
THI,NFB,DNR,THI,DNR,THI
SOH,DNR,THI,SOH,SOH,SOH
AWP,THI,SOH,AWP,AWP,AWP
LLY,SOH,BDP,LLY,LLY,LLY
RIZ,BDP,AWP,RIZ,RIZ,VAN
VAN,AWP,LLY,VAN,VAN,EZI
EZI,LLY,RIZ,EZI,EZI,TIP
RAP,VAN,VAN,TIP,TIP,CYN
IAN,EZI,EZI,VIS,ZAQ,ZAQ
MZY,TIP,TIP,CYN,RAP,RAP
FAZ,VIS,RAP,ZAQ,IAN,IAN
QIA,CYN,IAN,RAP,MZY,MZY
RKH,IAN,FAZ,IAN,FAZ,FAZ
TAN,MZY,JIN,MZY,QIA,QIA
WAM,FAZ,RKH,FAZ,JIN,JIN
REZ,JIN,TAN,JIN,RKH,RKH
BIB,RKH,WAM,RKH,WAM,TGH
WNA,REZ,REZ,TGH,BIB,WAM
MNS,RAD,BIB,WAM,RAD,REZ
DPR,OTU,WNA,REZ,MNS,OTU
NST,MNS,DPR,OTU,DPR,WNA
MAS,DPR,GAA,MNS,NST,MNS
EZL,ABD,EZL,DPR,MAS,ABD
RHN,NST,RHN,NST,GAA,GAA
ALF,MAS,ALY,RHN,RHN,EZL
XCX,GAA,ALF,ALY,JHS,RHN
ARF,EZL,LEX,JHS,LEX,JHS
GUS,RHN,ARF,XCX,GUS,XCX
REN,ALY,GUS,GUS,AMG,GUS
DEY,JHS,AMG,AMG,ARC,AMG
ARC,XCX,REN,FLL,AKA,FLL
AKA,GUS,ARC,ARC,LIP,NAB
LIP,AMG,BHL,BHL,RAM,ARC
NOA,FLL,AKA,LIP,IKI,BHL
TAL,DEY,FYN,IKI,TAL,FYN
BRI,NAB,IKI,NOA,BRI,LIP
ALL,ARC,TAL,TAL,ALL,RAM
AWR,BHL,BRI,AWR,RIS,NOA
DHY,AKA,RIS,DHY,AWR,TAL
AZA,LIP,AWR,CEN,CEN,RIS
MYC,IKI,DHY,AZA,AZA,AWR
WGG,NOA,CEN,MYC,MYC,DHY
