Senin,Kamis,Rabu,Sabtu,Jumat,Selasa
DHY,FLL,BIL,FAZ,CEN,RAP
FAZ,NAB,EZI,BIL,AKA,QIA
RAP,VAN,REN,GUS,AAA,OYA
XCX,NNY,OIL,JHS,JIN,WAM
SOH,IKI,ARF,MYC,TAL,GAA
AWR,CEN,NFB,VAN,RIN,RAM
WGG,BHL,RHN,DHY,FAN,JIN
ALV,DEY,NNY,OTU,TNT,JAY
NOA,AZA,GUS,RHN,HAN,NTR
THI,AAA,SOH,PER,LIM,FAN
ARC,NST,AWR,EZI,RIZ,REZ
DNR,REZ,VIN,MZY,ALV,ONE
MZY,DNR,CLA,WAM,ALL,THI
DPR,LIP,MAI,BHL,TIP,CYN
OIL,TIP,BRI,HAN,RAM,ARC
JFT,VIN,LEX,AMG,CLA,LIP
